Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.19,-.24,-.09,-.16,-.10,-.21,-.18,-.10,-.14,-.23,-.21,-.18,-.17,***,***,-.12,-.16,-.19
1881,-.20,-.14,.03,.05,.06,-.19,.00,-.04,-.16,-.22,-.18,-.07,-.09,-.10,-.17,.05,-.08,-.19
1882,.16,.13,.04,-.17,-.14,-.23,-.17,-.07,-.14,-.24,-.17,-.36,-.11,-.09,.07,-.09,-.16,-.18
1883,-.29,-.37,-.12,-.18,-.17,-.08,-.07,-.14,-.21,-.11,-.23,-.11,-.18,-.20,-.34,-.16,-.10,-.19
1884,-.13,-.08,-.36,-.40,-.34,-.35,-.31,-.28,-.27,-.25,-.34,-.31,-.29,-.27,-.11,-.37,-.32,-.29
1885,-.59,-.34,-.27,-.42,-.45,-.44,-.34,-.32,-.29,-.24,-.24,-.10,-.34,-.35,-.41,-.38,-.37,-.25
1886,-.44,-.51,-.43,-.28,-.25,-.35,-.18,-.31,-.24,-.28,-.28,-.26,-.32,-.30,-.35,-.32,-.28,-.27
1887,-.72,-.57,-.36,-.35,-.31,-.25,-.26,-.36,-.26,-.36,-.27,-.33,-.37,-.36,-.52,-.34,-.29,-.29
1888,-.34,-.36,-.41,-.20,-.22,-.17,-.11,-.16,-.12,.01,.03,-.04,-.18,-.20,-.35,-.28,-.15,-.03
1889,-.09,.16,.06,.09,-.01,-.10,-.08,-.20,-.24,-.25,-.34,-.29,-.11,-.09,.01,.05,-.13,-.28
1890,-.42,-.45,-.40,-.30,-.39,-.25,-.28,-.39,-.36,-.25,-.44,-.32,-.35,-.35,-.39,-.37,-.31,-.35
1891,-.34,-.46,-.18,-.27,-.16,-.21,-.18,-.18,-.15,-.22,-.32,-.05,-.23,-.25,-.37,-.21,-.19,-.23
1892,-.30,-.12,-.41,-.34,-.24,-.23,-.32,-.28,-.17,-.14,-.43,-.39,-.28,-.25,-.15,-.33,-.27,-.25
1893,-.81,-.56,-.22,-.27,-.34,-.25,-.14,-.25,-.22,-.18,-.19,-.32,-.31,-.32,-.59,-.28,-.21,-.20
1894,-.52,-.29,-.23,-.45,-.31,-.40,-.24,-.24,-.28,-.23,-.26,-.21,-.30,-.31,-.38,-.33,-.29,-.25
1895,-.41,-.43,-.33,-.22,-.27,-.21,-.17,-.17,-.12,-.11,-.17,-.14,-.23,-.23,-.35,-.27,-.18,-.13
1896,-.22,-.12,-.26,-.30,-.15,-.11,-.02,-.05,-.07,.06,-.04,-.04,-.11,-.12,-.16,-.24,-.06,-.02
1897,-.15,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.13,-.18,-.20,-.11,-.09,-.12,-.05,-.08,-.13
1898,-.02,-.30,-.51,-.31,-.30,-.19,-.23,-.27,-.21,-.34,-.38,-.23,-.27,-.27,-.17,-.37,-.23,-.31
1899,-.16,-.38,-.35,-.19,-.23,-.31,-.15,-.08,-.04,-.03,.13,-.26,-.17,-.17,-.26,-.26,-.18,.02
1900,-.36,-.05,.01,-.08,-.08,-.10,-.12,-.09,-.05,.10,-.07,-.06,-.08,-.10,-.22,-.05,-.10,-.01
1901,-.21,-.11,.06,-.02,-.15,-.11,-.14,-.20,-.22,-.29,-.16,-.26,-.15,-.13,-.13,-.03,-.15,-.22
1902,-.16,-.08,-.26,-.27,-.32,-.31,-.27,-.30,-.28,-.29,-.36,-.41,-.28,-.26,-.17,-.29,-.29,-.31
1903,-.24,-.06,-.23,-.41,-.39,-.42,-.34,-.45,-.49,-.46,-.41,-.50,-.37,-.36,-.24,-.34,-.40,-.45
1904,-.62,-.58,-.50,-.50,-.51,-.48,-.51,-.49,-.55,-.39,-.17,-.33,-.47,-.48,-.57,-.51,-.49,-.37
1905,-.34,-.59,-.21,-.34,-.29,-.28,-.26,-.20,-.19,-.25,-.07,-.12,-.26,-.28,-.42,-.28,-.25,-.17
1906,-.28,-.29,-.18,-.05,-.26,-.20,-.23,-.20,-.28,-.20,-.38,-.14,-.22,-.22,-.23,-.16,-.21,-.28
1907,-.43,-.51,-.27,-.37,-.46,-.42,-.35,-.34,-.34,-.22,-.46,-.47,-.39,-.36,-.36,-.37,-.37,-.34
1908,-.44,-.32,-.55,-.44,-.37,-.38,-.34,-.46,-.35,-.44,-.52,-.49,-.42,-.42,-.41,-.45,-.39,-.43
1909,-.72,-.45,-.54,-.58,-.54,-.52,-.45,-.34,-.38,-.39,-.32,-.56,-.48,-.48,-.55,-.55,-.43,-.36
1910,-.42,-.40,-.50,-.42,-.34,-.38,-.34,-.37,-.38,-.41,-.57,-.67,-.43,-.42,-.46,-.42,-.36,-.45
1911,-.62,-.58,-.60,-.54,-.51,-.50,-.42,-.43,-.40,-.26,-.21,-.21,-.44,-.48,-.62,-.55,-.45,-.29
